TRAIN_TT,TRAIN_CO,TRAIN_HE,SM_TT,SM_CO,SM_HE,CAR_TT,CAR_CO,PURPOSE,FIRST,TICKET,WHO,LUGGAGE,AGE,MALE,INCOME,GA,ORIGIN,DEST,SM_SEATS
120.0,80.0,30.0,55.0,90.0,10.0,110.0,52.0,2.0,9.0,13.0,20.0,24.0,29.0,34.0,35.0,40.0,43.0,60.0,81.0
323.0,79.0,60.0,116.0,110.0,30.0,299.0,116.0,0.0,9.0,11.0,21.0,24.0,28.0,34.0,36.0,40.0,57.0,72.0,81.0
85.0,60.0,30.0,37.0,84.0,20.0,72.0,52.0,2.0,10.0,11.0,21.0,24.0,29.0,34.0,38.0,40.0,42.0,61.0,81.0
95.0,23.0,30.0,55.0,28.0,30.0,70.0,40.0,3.0,9.0,11.0,21.0,24.0,29.0,34.0,38.0,40.0,42.0,72.0,81.0
137.0,45.0,60.0,105.0,57.0,30.0,128.0,104.0,3.0,9.0,11.0,21.0,24.0,30.0,34.0,36.0,40.0,57.0,60.0,81.0
106.0,60.0,120.0,37.0,84.0,10.0,117.0,78.0,3.0,10.0,11.0,21.0,24.0,28.0,34.0,38.0,40.0,42.0,61.0,81.0
168.0,72.0,30.0,61.0,99.0,20.0,156.0,75.0,1.0,9.0,13.0,21.0,25.0,30.0,34.0,39.0,40.0,59.0,61.0,81.0
234.0,211.0,60.0,127.0,254.0,30.0,234.0,88.0,0.0,10.0,13.0,21.0,25.0,29.0,33.0,38.0,40.0,59.0,62.0,81.0
144.0,1850.0,60.0,89.0,2960.0,30.0,100.0,40.0,2.0,9.0,17.0,22.0,25.0,27.0,34.0,36.0,41.0,43.0,60.0,81.0
212.0,79.0,60.0,70.0,92.0,20.0,160.0,136.0,2.0,10.0,11.0,22.0,24.0,31.0,34.0,38.0,40.0,42.0,77.0,81.0
114.0,100.0,60.0,71.0,108.0,10.0,110.0,60.0,2.0,9.0,13.0,22.0,25.0,28.0,34.0,37.0,40.0,52.0,61.0,81.0
76.0,252.0,30.0,45.0,302.0,10.0,0.0,0.0,1.0,9.0,18.0,21.0,25.0,28.0,33.0,36.0,40.0,57.0,79.0,81.0
267.0,97.0,120.0,167.0,109.0,30.0,160.0,195.0,2.0,10.0,11.0,23.0,24.0,28.0,34.0,38.0,40.0,42.0,77.0,81.0
96.0,3120.0,60.0,30.0,4160.0,30.0,0.0,0.0,2.0,9.0,16.0,21.0,25.0,28.0,34.0,36.0,41.0,43.0,60.0,81.0
134.0,1850.0,120.0,83.0,2220.0,30.0,0.0,0.0,3.0,9.0,17.0,21.0,25.0,31.0,34.0,36.0,41.0,42.0,61.0,81.0
154.0,80.0,60.0,52.0,91.0,10.0,0.0,0.0,0.0,9.0,13.0,21.0,24.0,28.0,34.0,39.0,40.0,59.0,61.0,81.0
201.0,84.0,120.0,131.0,90.0,30.0,136.0,156.0,2.0,10.0,11.0,22.0,24.0,30.0,34.0,38.0,40.0,59.0,66.0,81.0
160.0,11.0,60.0,63.0,19.0,30.0,136.0,136.0,2.0,9.0,16.0,21.0,25.0,30.0,34.0,38.0,40.0,42.0,77.0,81.0
208.0,139.0,30.0,115.0,169.0,20.0,182.0,85.0,2.0,10.0,13.0,22.0,24.0,30.0,34.0,38.0,40.0,57.0,67.0,81.0
172.0,5040.0,120.0,117.0,5460.0,20.0,0.0,0.0,2.0,10.0,16.0,21.0,25.0,31.0,33.0,39.0,41.0,54.0,60.0,81.0
286.0,45.0,30.0,132.0,80.0,20.0,234.0,105.0,2.0,9.0,15.0,21.0,25.0,28.0,33.0,39.0,40.0,42.0,77.0,81.0
210.0,79.0,120.0,77.0,97.0,20.0,136.0,88.0,2.0,10.0,11.0,23.0,25.0,29.0,34.0,38.0,40.0,57.0,60.0,81.0
90.0,67.0,60.0,41.0,106.0,30.0,0.0,0.0,2.0,10.0,13.0,21.0,24.0,28.0,33.0,37.0,40.0,52.0,60.0,82.0
211.0,83.0,120.0,153.0,105.0,10.0,150.0,80.0,3.0,10.0,11.0,21.0,25.0,31.0,34.0,36.0,40.0,43.0,73.0,81.0
187.0,76.0,120.0,146.0,81.0,30.0,112.0,123.0,2.0,10.0,11.0,22.0,25.0,29.0,34.0,37.0,40.0,52.0,68.0,81.0
